gtin;descricao;marca;ncm;ncm_descricao;gpc;gpc_descricao;categoria;categoria_id;categoria_pai_id;peso_liquido;peso_bruto;preco_medio;preco_min;preco_max;gtins_alternativos;thumbnail;criado_em;atualizado_em;fontes
7898932798057;CERVEJA BAMBERG BOCK;;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7898932798057;2014-04-24T11:07:34.000-03:00;2026-08-03T10:31:40.000-03:00;ncm:22030000
7898945134163;WHISKY CUTTY SARK 1L PACK C/COPO;;22083020;Em embalagens de capacidade inferior ou igual a 2 l;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-03T11:51:10.000-03:00;ncm:22083020
7898947426136;AMAZON BEER FOREST BACURI SPECIALTY BEER GARRAFA 1 UNIDADE;;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/amazon-beer-forest-bacuri-specialty-beer-garrafa-355-ml-1-unidade_600x600-PU7d195_1.jpg;2014-04-24T11:07:34.000-03:00;2026-08-03T12:06:04.000-03:00;ncm:22030000
7898947426174;AMAZON BEER WITBIER TAPEREBÁ WITBIER LONG NECK 1 UNIDADE;;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/amazon-beer-witbier-tapereba-witbier-long-neck-355-ml-1-unidade_300x300-PU7d056_1.jpg;2014-04-24T11:07:34.000-03:00;2026-08-03T12:06:04.000-03:00;ncm:22030000
7898947426198;CERVEJA NACIONAL PRIPRIOCA AMAZON BEER LONG NECK;;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7898947426198;2014-04-24T11:07:34.000-03:00;2026-08-03T12:06:04.000-03:00;ncm:22030000
7898947426204;AMAZON BEER CUMARU;;22030000;Cervejas de malte.;10000159;Cerveja;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7898947426204;2014-04-24T11:07:34.000-03:00;2026-08-03T12:06:05.000-03:00;ncm:22030000
7898947426211;AMAZON BEER STOUT AÇAÍ;;22030000;Cervejas de malte.;10000159;Cerveja;Cervejas Tradicionais;141;203;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7898947426211;2014-04-24T11:07:34.000-03:00;2026-08-03T12:06:05.000-03:00;ncm:22030000
7898947630014;VINHO VAILATTI 4 55L TINT;;22042920;Mostos;;;;;;;;;0.0;0.0;;;2021-04-08T14:51:43.000-03:00;2026-08-28T04:40:44.000-03:00;ncm:22042920
7898947630021;VINHO VAILATTI TINTO SECO 4.5L;;22042920;Mostos;;;;;;;;;0.0;0.0;;;2021-07-16T11:28:28.000-03:00;2025-11-24T17:29:24.000-03:00;ncm:22042920
7898947630038;VINHO VAILATTI BRANCO SECO 4.5L;;22042920;Mostos;;;;;;;;;0.0;0.0;;;2021-09-05T05:33:10.000-03:00;2026-01-15T16:08:15.000-03:00;ncm:22042920
7898947630045;VINHO BCO VAILATTI 4.5L SUAVE;;22042920;Mostos;;;;;;;;;0.0;0.0;;;2023-04-17T07:39:24.000-03:00;2025-11-24T17:29:25.000-03:00;ncm:22042920
7898947630373;VINHO BRASILEIRO ROSADO SUAVE SÃO PASQUAL GARRAFÃO 4,55L;;22042920;Mostos;;;Vinho Rosé;246;74;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7898947630373;2020-11-22T13:43:51.000-03:00;2024-05-28T18:08:31.000-03:00;ncm:22042920
7898949766162;VINHO VILENA 4,6L BORDO TINTO SUAVE;;22043000;Outros mostos de uvas;;;Vinhos;74;65;;;;0.0;0.0;17898949766169;https://cdn-cosmos.bluesoft.com.br/products/7898949766162;2015-02-19T12:36:25.000-02:00;2026-08-03T12:19:15.000-03:00;ncm:22043000
7898949766179;VINHO VILENA 4,6L BORDO TINTO SECO;;22043000;Outros mostos de uvas;;;Vinhos;74;65;;;;0.0;0.0;17898949766176;https://cdn-cosmos.bluesoft.com.br/products/7898949766179;2015-02-19T12:38:51.000-02:00;2026-08-03T12:19:15.000-03:00;ncm:22043000
7898994017325;SAQUÊ SECO JUNMAI RYUUJIN BLACK GARRAFA 745ML;RYUUJIN;22060090;Outras;;;;;;;;;0.0;0.0;17898994017322;https://cdn-cosmos.bluesoft.com.br/products/7898994017325;2014-04-24T11:07:34.000-03:00;2026-08-03T13:31:13.000-03:00;ncm:22060090
7899413373268;VINHO CHI MONTES ALPHA CABERNET SAUVIG;;22042910;Vinhos;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/7899413373268;2018-06-24T06:52:14.000-03:00;2026-08-03T15:20:58.000-03:00;ncm:22042910
8000174207009;ESPUMANTE ITALIANO BRANCO DOCE FONTANAFREDDA MOSCATO ASTI GARRAFA 750ML;FONTANAFREDDA;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8000174207009;2014-04-24T11:07:34.000-03:00;2026-08-05T03:45:00.000-03:00;ncm:22041090
8000428000424;ESPUM ITAL PERLINO ASTI;;22042100;Em recipientes de capacidade não superior a 2 l;;;Espumante e Champanhe;143;140;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8000428000424;2014-04-24T11:07:34.000-03:00;2026-08-05T03:46:10.000-03:00;ncm:22042100
8000428015602;LICOR PERLINO CHOCO DI TORINO;;22042100;Em recipientes de capacidade não superior a 2 l;;;Licor;240;140;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:46:11.000-03:00;ncm:22042100
8000428015800;LICOR LIMONCELLO PERLINO DEL SOLE 1L;;22042100;Em recipientes de capacidade não superior a 2 l;;;;;;750;750;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8000428015800;2014-04-24T11:07:34.000-03:00;2026-08-05T03:46:11.000-03:00;ncm:22042100
8000570005056;MARTINI ASTI|750|CHAMPAGNE;;22043000;Outros mostos de uvas;;;;;;;;;0.0;0.0;;https://cdn-cosmos.bluesoft.com.br/products/8000570005056;2014-04-24T11:07:34.000-03:00;2026-08-05T03:46:42.000-03:00;ncm:22043000
8001929214679;VINHO BRANCO ESPUMANTE CELLA;;22082000;Aguardentes de vinho ou de bagaço de uvas;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:49:55.000-03:00;ncm:22082000
8003295000245;ESPUM ESP PINOT CHARDONNAY BRUT;;22041090;Outros;;;;;;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:53:50.000-03:00;ncm:22041090
8003905095548;ESPUM ITAL LA VENEZIANA PROSECCO;;22041090;Outros;;;Espumante e Champanhe;143;140;;;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:55:27.000-03:00;ncm:22041090
8004300011386;VINHO MARANELLO LAMBRUSCO;;22059000;Outros;;;;;;0;0;;0.0;0.0;;;2014-04-24T11:07:34.000-03:00;2026-08-05T03:56:04.000-03:00;ncm:22059000
